"","id","period","seconds","goal"
"1","1","1",0,FALSE
"2","1","1",14,FALSE
"3","1","1",114,FALSE
"4","1","1",152,FALSE
"5","1","1",189,TRUE
"6","1","1",235,FALSE
"7","1","1",273,FALSE
"8","1","1",295,FALSE
"9","1","1",311,FALSE
"10","1","1",336,FALSE
"11","1","1",487,FALSE
"12","1","1",543,FALSE
"13","1","1",572,FALSE
"14","1","1",588,FALSE
"15","1","1",609,FALSE
"16","1","1",672,FALSE
"17","1","1",705,FALSE
"18","1","1",737,FALSE
"19","1","1",792,FALSE
"20","1","1",1015,FALSE
"21","1","1",1086,FALSE
"22","1","1",1101,FALSE
"23","1","2",0,FALSE
"24","1","2",13,FALSE
"25","1","2",19,TRUE
"26","1","2",33,FALSE
"27","1","2",81,FALSE
"28","1","2",88,FALSE
"29","1","2",126,FALSE
"30","1","2",230,FALSE
"31","1","2",237,FALSE
"32","1","2",295,FALSE
"33","1","2",362,FALSE
"34","1","2",396,FALSE
"35","1","2",491,FALSE
"36","1","2",579,FALSE
"37","1","2",664,FALSE
"38","1","2",762,FALSE
"39","1","2",807,FALSE
"40","1","2",852,FALSE
"41","1","2",886,FALSE
"42","1","2",890,FALSE
"43","1","2",1151,FALSE
"44","1","2",1177,FALSE
"45","1","3",0,FALSE
"46","1","3",156,FALSE
"47","1","3",162,FALSE
"48","1","3",307,FALSE
"49","1","3",361,FALSE
"50","1","3",453,FALSE
"51","1","3",480,FALSE
"52","1","3",722,TRUE
"53","1","3",733,FALSE
"54","1","3",740,FALSE
"55","1","3",761,FALSE
"56","1","3",769,FALSE
"57","1","3",792,FALSE
"58","1","3",836,FALSE
"59","1","3",840,FALSE
"60","1","3",857,FALSE
"61","1","3",906,FALSE
"62","1","3",1027,FALSE
"63","1","3",1161,FALSE
"64","1","3",1169,TRUE
"65","2","1",0,FALSE
"66","2","1",103,TRUE
"67","2","1",153,FALSE
"68","2","1",189,FALSE
"69","2","1",337,FALSE
"70","2","1",379,FALSE
"71","2","1",547,FALSE
"72","2","1",549,FALSE
"73","2","1",611,FALSE
"74","2","1",673,FALSE
"75","2","1",786,FALSE
"76","2","1",864,TRUE
"77","2","1",998,TRUE
"78","2","1",1024,FALSE
"79","2","1",1079,FALSE
"80","2","1",1118,FALSE
"81","2","1",1141,TRUE
"82","2","2",0,FALSE
"83","2","2",10,FALSE
"84","2","2",32,FALSE
"85","2","2",118,FALSE
"86","2","2",260,FALSE
"87","2","2",356,FALSE
"88","2","2",390,FALSE
"89","2","2",415,TRUE
"90","2","2",463,FALSE
"91","2","2",477,FALSE
"92","2","2",566,FALSE
"93","2","2",605,FALSE
"94","2","2",621,FALSE
"95","2","2",873,FALSE
"96","2","2",895,FALSE
"97","2","2",900,FALSE
"98","2","2",1051,FALSE
"99","2","2",1089,FALSE
"100","2","2",1110,FALSE
"101","2","2",1164,FALSE
"102","2","2",1169,FALSE
"103","2","3",0,FALSE
"104","2","3",23,FALSE
"105","2","3",120,FALSE
"106","2","3",238,FALSE
"107","2","3",406,FALSE
"108","2","3",506,FALSE
"109","2","3",671,FALSE
"110","2","3",730,FALSE
"111","2","3",741,FALSE
"112","2","3",778,FALSE
"113","2","3",788,FALSE
"114","2","3",854,FALSE
"115","2","3",878,FALSE
"116","2","3",952,FALSE
"117","2","3",984,FALSE
"118","2","3",1087,FALSE
"119","2","3",1121,FALSE
"120","2","3",1140,FALSE
"121","2","3",1182,FALSE
"122","3","1",0,FALSE
"123","3","1",2,FALSE
"124","3","1",59,FALSE
"125","3","1",98,FALSE
"126","3","1",105,FALSE
"127","3","1",135,FALSE
"128","3","1",238,FALSE
"129","3","1",249,FALSE
"130","3","1",385,FALSE
"131","3","1",478,FALSE
"132","3","1",482,FALSE
"133","3","1",507,FALSE
"134","3","1",598,FALSE
"135","3","1",634,TRUE
"136","3","1",653,FALSE
"137","3","1",754,FALSE
"138","3","1",873,FALSE
"139","3","1",878,FALSE
"140","3","1",931,FALSE
"141","3","1",935,FALSE
"142","3","1",949,FALSE
"143","3","1",987,FALSE
"144","3","1",1013,FALSE
"145","3","1",1055,FALSE
"146","3","1",1059,FALSE
"147","3","1",1068,FALSE
"148","3","1",1081,TRUE
"149","3","1",1139,FALSE
"150","3","2",0,FALSE
"151","3","2",82,FALSE
"152","3","2",157,FALSE
"153","3","2",170,FALSE
"154","3","2",199,FALSE
"155","3","2",219,TRUE
"156","3","2",338,FALSE
"157","3","2",349,FALSE
"158","3","2",506,FALSE
"159","3","2",574,FALSE
"160","3","2",578,FALSE
"161","3","2",669,FALSE
"162","3","2",771,FALSE
"163","3","2",799,FALSE
"164","3","2",872,FALSE
"165","3","2",1109,FALSE
"166","3","2",1195,TRUE
"167","3","3",0,FALSE
"168","3","3",29,FALSE
"169","3","3",264,FALSE
"170","3","3",273,FALSE
"171","3","3",291,FALSE
"172","3","3",295,FALSE
"173","3","3",363,FALSE
"174","3","3",426,FALSE
"175","3","3",497,TRUE
"176","3","3",519,FALSE
"177","3","3",609,FALSE
"178","3","3",707,FALSE
"179","3","3",747,FALSE
"180","3","3",799,FALSE
"181","3","3",873,FALSE
"182","3","3",895,FALSE
"183","3","3",991,TRUE
"184","3","3",1006,FALSE
"185","3","3",1030,FALSE
"186","3","3",1167,FALSE
"187","3","3",1179,FALSE
"188","3","3",1188,FALSE
"189","4","1",0,FALSE
"190","4","1",10,FALSE
"191","4","1",23,FALSE
"192","4","1",67,FALSE
"193","4","1",109,TRUE
"194","4","1",111,FALSE
"195","4","1",146,FALSE
"196","4","1",245,FALSE
"197","4","1",297,FALSE
"198","4","1",302,FALSE
"199","4","1",324,FALSE
"200","4","1",532,FALSE
"201","4","1",583,TRUE
"202","4","1",596,FALSE
"203","4","1",635,FALSE
"204","4","1",647,FALSE
"205","4","1",708,FALSE
"206","4","1",729,FALSE
"207","4","1",743,FALSE
"208","4","1",764,FALSE
"209","4","1",946,FALSE
"210","4","1",952,TRUE
"211","4","1",969,FALSE
"212","4","1",1066,FALSE
"213","4","1",1190,FALSE
"214","4","2",0,FALSE
"215","4","2",53,FALSE
"216","4","2",100,FALSE
"217","4","2",120,FALSE
"218","4","2",168,FALSE
"219","4","2",367,TRUE
"220","4","2",396,FALSE
"221","4","2",420,FALSE
"222","4","2",446,FALSE
"223","4","2",483,FALSE
"224","4","2",494,TRUE
"225","4","2",508,FALSE
"226","4","2",585,FALSE
"227","4","2",621,FALSE
"228","4","2",715,FALSE
"229","4","2",817,FALSE
"230","4","2",862,FALSE
"231","4","2",911,FALSE
"232","4","2",924,FALSE
"233","4","2",996,FALSE
"234","4","2",1047,FALSE
"235","4","2",1055,FALSE
"236","4","2",1077,FALSE
"237","4","2",1086,FALSE
"238","4","2",1171,FALSE
"239","4","3",0,FALSE
"240","4","3",119,FALSE
"241","4","3",136,FALSE
"242","4","3",174,FALSE
"243","4","3",211,TRUE
"244","4","3",294,FALSE
"245","4","3",311,FALSE
"246","4","3",325,FALSE
"247","4","3",463,FALSE
"248","4","3",496,FALSE
"249","4","3",502,FALSE
"250","4","3",579,FALSE
"251","4","3",649,FALSE
"252","4","3",654,FALSE
"253","4","3",673,FALSE
"254","4","3",815,FALSE
"255","4","3",856,FALSE
"256","4","3",909,FALSE
"257","4","3",960,FALSE
"258","4","3",990,FALSE
"259","4","3",1006,FALSE
"260","4","3",1022,FALSE
"261","4","3",1121,FALSE
"262","4","3",1138,FALSE
"263","5","1",0,FALSE
"264","5","1",114,FALSE
"265","5","1",127,FALSE
"266","5","1",190,FALSE
"267","5","1",263,FALSE
"268","5","1",300,FALSE
"269","5","1",336,TRUE
"270","5","1",460,FALSE
"271","5","1",463,FALSE
"272","5","1",698,FALSE
"273","5","1",712,FALSE
"274","5","1",782,FALSE
"275","5","1",795,FALSE
"276","5","1",800,FALSE
"277","5","1",808,FALSE
"278","5","1",884,FALSE
"279","5","1",948,FALSE
"280","5","1",1050,FALSE
"281","5","1",1058,FALSE
"282","5","1",1076,FALSE
"283","5","1",1163,FALSE
"284","5","1",1172,FALSE
"285","5","2",0,FALSE
"286","5","2",196,FALSE
"287","5","2",223,FALSE
"288","5","2",279,FALSE
"289","5","2",326,TRUE
"290","5","2",407,FALSE
"291","5","2",438,FALSE
"292","5","2",443,FALSE
"293","5","2",496,FALSE
"294","5","2",557,TRUE
"295","5","2",588,FALSE
"296","5","2",638,FALSE
"297","5","2",677,FALSE
"298","5","2",746,FALSE
"299","5","2",803,FALSE
"300","5","2",877,FALSE
"301","5","2",919,FALSE
"302","5","2",1021,FALSE
"303","5","2",1059,TRUE
"304","5","2",1068,FALSE
"305","5","2",1109,FALSE
"306","5","3",0,FALSE
"307","5","3",22,FALSE
"308","5","3",85,TRUE
"309","5","3",317,TRUE
"310","5","3",500,FALSE
"311","5","3",591,TRUE
"312","5","3",721,FALSE
"313","5","3",764,FALSE
"314","5","3",778,FALSE
"315","5","3",862,FALSE
"316","5","3",882,FALSE
"317","5","3",964,FALSE
"318","5","3",982,TRUE
"319","5","3",1114,FALSE
"320","5","3",1152,FALSE
"321","5","3",1160,FALSE
"322","6","1",0,FALSE
"323","6","1",30,TRUE
"324","6","1",114,FALSE
"325","6","1",219,FALSE
"326","6","1",265,FALSE
"327","6","1",287,FALSE
"328","6","1",301,FALSE
"329","6","1",363,FALSE
"330","6","1",370,FALSE
"331","6","1",400,FALSE
"332","6","1",438,FALSE
"333","6","1",545,FALSE
"334","6","1",556,FALSE
"335","6","1",712,FALSE
"336","6","1",736,FALSE
"337","6","1",771,FALSE
"338","6","1",777,FALSE
"339","6","1",819,FALSE
"340","6","1",864,FALSE
"341","6","1",872,FALSE
"342","6","1",877,FALSE
"343","6","1",927,FALSE
"344","6","1",947,FALSE
"345","6","1",961,FALSE
"346","6","1",1020,FALSE
"347","6","1",1037,FALSE
"348","6","1",1080,FALSE
"349","6","1",1089,FALSE
"350","6","2",0,FALSE
"351","6","2",232,FALSE
"352","6","2",263,FALSE
"353","6","2",267,FALSE
"354","6","2",377,FALSE
"355","6","2",384,FALSE
"356","6","2",388,FALSE
"357","6","2",450,FALSE
"358","6","2",468,FALSE
"359","6","2",514,FALSE
"360","6","2",602,FALSE
"361","6","2",649,TRUE
"362","6","2",689,FALSE
"363","6","2",797,FALSE
"364","6","2",830,FALSE
"365","6","2",890,FALSE
"366","6","2",946,FALSE
"367","6","2",950,FALSE
"368","6","2",1077,FALSE
"369","6","2",1108,FALSE
"370","6","2",1116,FALSE
"371","6","2",1137,FALSE
"372","6","2",1147,FALSE
"373","6","3",0,FALSE
"374","6","3",47,FALSE
"375","6","3",59,FALSE
"376","6","3",75,FALSE
"377","6","3",236,FALSE
"378","6","3",265,FALSE
"379","6","3",429,FALSE
"380","6","3",465,FALSE
"381","6","3",505,FALSE
"382","6","3",551,TRUE
"383","6","3",628,FALSE
"384","6","3",663,FALSE
"385","6","3",683,FALSE
"386","6","3",719,FALSE
"387","6","3",745,FALSE
"388","6","3",830,FALSE
"389","6","3",1022,FALSE
"390","6","3",1053,FALSE
"391","6","3",1099,FALSE
"392","6","3",1136,TRUE
"393","6","3",1154,FALSE
"394","7","1",0,FALSE
"395","7","1",41,FALSE
"396","7","1",125,FALSE
"397","7","1",145,FALSE
"398","7","1",213,FALSE
"399","7","1",252,FALSE
"400","7","1",441,FALSE
"401","7","1",490,FALSE
"402","7","1",511,FALSE
"403","7","1",542,FALSE
"404","7","1",570,FALSE
"405","7","1",629,FALSE
"406","7","1",637,FALSE
"407","7","1",827,FALSE
"408","7","1",982,FALSE
"409","7","1",990,FALSE
"410","7","2",0,FALSE
"411","7","2",14,FALSE
"412","7","2",85,TRUE
"413","7","2",144,FALSE
"414","7","2",314,FALSE
"415","7","2",390,FALSE
"416","7","2",453,FALSE
"417","7","2",524,FALSE
"418","7","2",545,FALSE
"419","7","2",614,TRUE
"420","7","2",650,FALSE
"421","7","2",686,FALSE
"422","7","2",723,TRUE
"423","7","2",743,FALSE
"424","7","2",764,FALSE
"425","7","2",786,FALSE
"426","7","2",804,FALSE
"427","7","2",853,FALSE
"428","7","2",949,FALSE
"429","7","2",998,FALSE
"430","7","2",1003,FALSE
"431","7","2",1044,FALSE
"432","7","2",1102,TRUE
"433","7","2",1130,FALSE
"434","7","2",1151,FALSE
"435","7","3",0,FALSE
"436","7","3",59,FALSE
"437","7","3",198,FALSE
"438","7","3",322,FALSE
"439","7","3",334,FALSE
"440","7","3",359,FALSE
"441","7","3",406,FALSE
"442","7","3",414,FALSE
"443","7","3",562,FALSE
"444","7","3",710,FALSE
"445","7","3",720,FALSE
"446","7","3",757,FALSE
"447","7","3",886,FALSE
"448","7","3",962,FALSE
"449","7","3",972,FALSE
