"","date","away","home","request"
"1","2015-10-07","MTL","TOR","20151007-MTL-TOR"
"2","2015-10-07","NYR","CHI","20151007-NYR-CHI"
"3","2015-10-07","VAN","CGY","20151007-VAN-CGY"
"4","2015-10-07","SJS","LAK","20151007-SJS-LAK"
"5","2015-10-08","WPJ","BOS","20151008-WPJ-BOS"
"6","2015-10-08","OTT","BUF","20151008-OTT-BUF"
"7","2015-10-08","PHI","TBL","20151008-PHI-TBL"
"8","2015-10-08","CAR","NSH","20151008-CAR-NSH"
"9","2015-10-08","EDM","STL","20151008-EDM-STL"
"10","2015-10-08","PIT","DAL","20151008-PIT-DAL"
"11","2015-10-08","MIN","COL","20151008-MIN-COL"
"12","2015-10-09","NYR","CBJ","20151009-NYR-CBJ"
"13","2015-10-09","WPJ","NJD","20151009-WPJ-NJD"
"14","2015-10-09","TOR","DET","20151009-TOR-DET"
"15","2015-10-09","CHI","NYI","20151009-CHI-NYI"
"16","2015-10-09","ARI","LAK","20151009-ARI-LAK"
"17","2015-10-10","TBL","BUF","20151010-TBL-BUF"
"18","2015-10-10","DET","CAR","20151010-DET-CAR"
"19","2015-10-10","PHI","FLO","20151010-PHI-FLO"
"20","2015-10-10","CBJ","NYR","20151010-CBJ-NYR"
"21","2015-10-10","NJD","WSH","20151010-NJD-WSH"
"22","2015-10-10","MTL","BOS","20151010-MTL-BOS"
"23","2015-10-10","OTT","TOR","20151010-OTT-TOR"
"24","2015-10-10","EDM","NSH","20151010-EDM-NSH"
"25","2015-10-10","STL","MIN","20151010-STL-MIN"
"26","2015-10-10","NYI","CHI","20151010-NYI-CHI"
"27","2015-10-10","DAL","COL","20151010-DAL-COL"
"28","2015-10-10","PIT","ARI","20151010-PIT-ARI"
"29","2015-10-10","CGY","VAN","20151010-CGY-VAN"
"30","2015-10-10","ANA","SJS","20151010-ANA-SJS"
"31","2015-10-11","MTL","OTT","20151011-MTL-OTT"
"32","2015-10-12","TBL","BOS","20151012-TBL-BOS"
"33","2015-10-12","WPJ","NYI","20151012-WPJ-NYI"
"34","2015-10-12","CBJ","BUF","20151012-CBJ-BUF"
"35","2015-10-12","FLO","PHI","20151012-FLO-PHI"
"36","2015-10-12","VAN","ANA","20151012-VAN-ANA"
"37","2015-10-13","MTL","PIT","20151013-MTL-PIT"
"38","2015-10-13","NSH","NJD","20151013-NSH-NJD"
"39","2015-10-13","WPJ","NYR","20151013-WPJ-NYR"
"40","2015-10-13","SJS","WSH","20151013-SJS-WSH"
"41","2015-10-13","FLO","CAR","20151013-FLO-CAR"
"42","2015-10-13","TBL","DET","20151013-TBL-DET"
"43","2015-10-13","EDM","DAL","20151013-EDM-DAL"
"44","2015-10-13","STL","CGY","20151013-STL-CGY"
"45","2015-10-13","VAN","LAK","20151013-VAN-LAK"
"46","2015-10-14","OTT","CBJ","20151014-OTT-CBJ"
"47","2015-10-14","CHI","PHI","20151014-CHI-PHI"
"48","2015-10-14","BOS","COL","20151014-BOS-COL"
"49","2015-10-14","ARI","ANA","20151014-ARI-ANA"
"50","2015-10-15","NSH","NYI","20151015-NSH-NYI"
"51","2015-10-15","OTT","PIT","20151015-OTT-PIT"
"52","2015-10-15","CHI","WSH","20151015-CHI-WSH"
"53","2015-10-15","NYR","MTL","20151015-NYR-MTL"
"54","2015-10-15","DAL","TBL","20151015-DAL-TBL"
"55","2015-10-15","BUF","FLO","20151015-BUF-FLO"
"56","2015-10-15","STL","EDM","20151015-STL-EDM"
"57","2015-10-15","MIN","ARI","20151015-MIN-ARI"
"58","2015-10-16","SJS","NJD","20151016-SJS-NJD"
"59","2015-10-16","TOR","CBJ","20151016-TOR-CBJ"
"60","2015-10-16","CAR","DET","20151016-CAR-DET"
"61","2015-10-16","CGY","WPJ","20151016-CGY-WPJ"
"62","2015-10-16","STL","VAN","20151016-STL-VAN"
"63","2015-10-16","COL","ANA","20151016-COL-ANA"
"64","2015-10-16","MIN","LAK","20151016-MIN-LAK"
"65","2015-10-17","DET","MTL","20151017-DET-MTL"
"66","2015-10-17","NSH","OTT","20151017-NSH-OTT"
"67","2015-10-17","BUF","TBL","20151017-BUF-TBL"
"68","2015-10-17","DAL","FLO","20151017-DAL-FLO"
"69","2015-10-17","TOR","PIT","20151017-TOR-PIT"
"70","2015-10-17","CAR","WSH","20151017-CAR-WSH"
"71","2015-10-17","SJS","NYI","20151017-SJS-NYI"
"72","2015-10-17","CBJ","CHI","20151017-CBJ-CHI"
"73","2015-10-17","EDM","CGY","20151017-EDM-CGY"
"74","2015-10-17","BOS","ARI","20151017-BOS-ARI"
"75","2015-10-18","NJD","NYR","20151018-NJD-NYR"
"76","2015-10-18","STL","WPJ","20151018-STL-WPJ"
"77","2015-10-18","MIN","ANA","20151018-MIN-ANA"
"78","2015-10-18","EDM","VAN","20151018-EDM-VAN"
"79","2015-10-18","COL","LAK","20151018-COL-LAK"
"80","2015-10-19","SJS","NYR","20151019-SJS-NYR"
"81","2015-10-20","ARI","NJD","20151020-ARI-NJD"
"82","2015-10-20","DAL","PHI","20151020-DAL-PHI"
"83","2015-10-20","FLO","PIT","20151020-FLO-PIT"
"84","2015-10-20","NYI","CBJ","20151020-NYI-CBJ"
"85","2015-10-20","STL","MTL","20151020-STL-MTL"
"86","2015-10-20","TBL","NSH","20151020-TBL-NSH"
"87","2015-10-20","WSH","CGY","20151020-WSH-CGY"
"88","2015-10-21","TOR","BUF","20151021-TOR-BUF"
"89","2015-10-21","PHI","BOS","20151021-PHI-BOS"
"90","2015-10-21","DET","EDM","20151021-DET-EDM"
"91","2015-10-21","CAR","COL","20151021-CAR-COL"
"92","2015-10-22","ARI","NYR","20151022-ARI-NYR"
"93","2015-10-22","DAL","PIT","20151022-DAL-PIT"
"94","2015-10-22","NJD","OTT","20151022-NJD-OTT"
"95","2015-10-22","ANA","NSH","20151022-ANA-NSH"
"96","2015-10-22","CBJ","MIN","20151022-CBJ-MIN"
"97","2015-10-22","FLO","CHI","20151022-FLO-CHI"
"98","2015-10-22","WSH","VAN","20151022-WSH-VAN"
"99","2015-10-22","LAK","SJS","20151022-LAK-SJS"
"100","2015-10-23","MTL","BUF","20151023-MTL-BUF"
"101","2015-10-23","BOS","NYI","20151023-BOS-NYI"
"102","2015-10-23","TBL","WPJ","20151023-TBL-WPJ"
"103","2015-10-23","DET","CGY","20151023-DET-CGY"
